LocationID,LAI_L7,LAI_L8
1,0.1862,0.1555
2,0.0846,0.1401
3,0.0485,0.064
4,0.0246,0.0468
5,0.0537,0.0882
6,0.0527,0.0677
7,0.0436,0.0706
8,1.0279,1.3467
9,0.0183,0.0343
10,0.0381,0.0365
11,0.0236,0.0451
12,0.0345,0.0596
13,0.0374,0.0404
14,0.0577,0.0821
15,0.069,0.0975
16,0.1437,0.2058
17,0.0432,0.0479
18,0.0949,0.1104
19,0.1398,0.0912
20,0.0737,0.128
21,0.061,0.0688
22,0.0388,0.077
23,0.0092,0.0062
24,0.0475,0.0437
25,0.0933,0.163
26,0.3558,0.4901
27,0.1147,0.1508
28,5.7701,6
29,0.011,0.019
30,2.8845,3.3591
31,4.8003,5.7294
32,4.8975,5.3856
33,3.2472,3.6269
34,2.2337,2.4115
35,3.645,3.925
36,1.9957,2.2931
37,1.302,1.5697
38,3.9776,4.5305
39,5.0937,5.4731
40,1.5943,1.8728
41,5.1427,5.6693
42,0.8913,0.779
43,3.1778,3.6551
44,1.1978,1.3218
45,4.3409,4.7166
46,3.0946,3.3729
47,0.0204,0.035
48,4.4319,4.7662
49,1.5094,2.2542
50,0.0165,0.0297
51,0.0211,0.0292
52,0.0216,0.0339
53,0.6049,0.778
54,1.1348,1.3643
55,0.8362,0.9987
56,0.5889,0.8664
57,0.574,0.6599
58,4.253,4.9162
59,1.092,1.2414
60,0.8758,1.1492
61,2.2269,2.0865
62,4.2002,4.3524
63,2.1605,2.4272
64,2.1874,2.3672
65,0.8257,1.1139
66,0.8772,1.0687
67,1.1413,1.5596
68,4.5747,5.1361
69,4.3797,4.9384
70,2.2407,2.5229
71,3.4799,3.6408
72,0.6473,0.9074
73,2.9915,3.4033
74,2.7923,3.0531
75,1.9478,2.3082
76,2.8296,3.2597
77,2.7788,3.1988
78,3.0946,3.4604
79,0.5665,0.7773
80,0.8483,1.0228
81,1.0608,1.289
82,1.6641,1.8972
83,1.7512,1.9309
84,2.9424,2.9906
85,1.5506,1.9812
86,0.0266,0.0458
87,4.4297,4.4168
88,3.2729,3.3386
89,4.8131,5.3765
90,3.0106,3.4673
91,1.3273,1.481
92,1.8712,2.1856
93,0.1364,0.1657
94,5.5048,6
95,5.2148,5.8559
96,1.0207,1.159
97,4.8045,5.1156
98,2.328,1.9575
99,1.0298,0.815
100,3.7742,4.1113
101,4.6996,5.1345
102,0.6372,0.843
103,4.356,4.6366
104,5.0212,5.5628
105,0.5666,0.8455
106,2.7549,3.0289
107,3.2326,3.5959
108,5.1766,5.7733
109,3.4405,3.9933
110,1.8001,2.2124
111,4.349,4.8763
112,5.2772,5.6901
113,4.7354,5.2426
114,5.2148,5.7197
115,1.3706,1.5912
116,1.0411,1.2683
117,0.6133,0.8326
118,0.6259,0.9088
119,0.0029,0.005
120,0.0119,0.0242
121,2.581,2.652
122,1.7191,2.1001
123,0.0129,0.0271
124,0.3229,0.4422
125,0.3118,0.4466
126,0.0213,0.0336
127,0.0199,0.0302
128,0.669,0.9047
129,2.0155,2.38
130,1.4117,1.683
131,0.0129,0.0365
132,0.0108,0.0197
133,3.9713,4.4133
134,2.3364,2.7417
135,0.7717,1.017
136,0.6372,0.8722
137,0.8064,1.0083
138,0.9989,1.2339
139,1.833,2.1581
140,0.0108,0.0182
141,0.0151,0.0255
142,1.2185,1.5415
143,0.0183,0.0299
144,0.0151,0.0272
145,0.0224,0.0311
146,1.761,2.0224
147,2.8642,3.5715
148,0.7791,1.0289
149,0.0215,0.0268
150,1.2672,1.5997
151,0.0159,0.0198
152,5.4765,5.7201
153,2.5523,3.0356
154,5.3735,5.8858
155,2.4776,3.0073
156,0.008,0.0167
157,0.7878,1.0695
158,0.0179,0.0288
159,0.0155,0.0312
160,0.0099,0.0098
161,0.0099,0.0159
162,2.1379,2.2284
163,4.2143,4.5345
164,2.0685,2.3166
165,2.7788,3.151
166,5.7303,6
167,5.8017,6
168,5.5048,6
169,5.4407,6
170,0.0082,0.0183
171,0.0089,0.018
172,5.7923,6
173,4.8499,5.1936
174,2.5389,2.5807
175,0.1748,0.2465
176,0.5199,0.646
177,0.3833,0.4716
178,4.0856,4.486
179,1.2361,1.3605
180,0.8878,1.197
181,0.2913,0.365
182,0.2795,0.351
183,0.2467,0.3242
184,2.885,3.1552
185,2.9603,3.4266
